"id","dams","miles","barriers"
"020700010101",12,1.2079999446868896,1
"020700010201",3,5.382999897003174,1
"020700010301",0,0.0,20
"020700010302",2,0.12200000137090683,34
"020700010401",3,10.732000350952148,0
"020700010402",1,2.1989998817443848,0
"020700010501",7,13.050999641418457,12
"020700010502",1,57.43299865722656,0
"020700010503",3,16.229000091552734,0
"020700010504",5,9.121000289916992,1
"020700010505",2,7.776000022888184,5
"020700010506",2,10.937999725341797,0
"020700010507",2,13.36400032043457,0
"020700010508",2,12.744000434875488,0
"020700010603",1,0.25,0
"020700010609",1,0.5329999923706055,0
"020700020101",3,0.621999979019165,0
"020700020103",3,2.444000005722046,0
"020700020201",1,0.3619999885559082,0
"020700020202",3,15.487000465393066,0
"020700020203",2,0.7120000123977661,0
"020700020205",1,5.324999809265137,0
"020700020206",2,21.5939998626709,0
"020700020207",1,44.18899917602539,0
"020700020301",5,1.4589999914169312,0
"020700020302",2,2.0920000076293945,0
"020700020401",9,2.996000051498413,0
"020700020402",2,1.194000005722046,0
"020700020403",4,9.746999740600586,0
"020700020503",1,1.7970000505447388,0
"020700020506",1,0.4699999988079071,0
"020700020507",1,0.9129999876022339,0
"020700020601",3,6.310999870300293,0
"020700020602",2,16.906999588012695,0
"020700020701",2,27.613000869750977,0
"020700020702",5,7.6519999504089355,0
"020700020703",1,42.00600051879883,0
"020700020704",4,10.208999633789062,0
"020700020705",5,5.859000205993652,0
"020700020706",3,8.982999801635742,0
"020700020707",10,19.490999221801758,0
"020700020708",4,9.303000450134277,0
"020700020801",5,100.83399963378906,0
"020700020803",2,1.0379999876022339,0
"020700030105",1,2.5439999103546143,0
"020700030106",1,-1.0,0
"020700030202",1,0.11400000005960464,0
"020700030401",1,2.305000066757202,0
"020700030502",1,6.460000038146973,0
"020700030503",1,12.001999855041504,0
"020700030504",1,75.33100128173828,0
"020700030601",1,7.13100004196167,0
"020700030603",1,0.050999999046325684,0
"020700030604",2,0.09799999743700027,0
"020700030701",2,3.1619999408721924,0
"020700030702",1,16.077999114990234,0
"020700030705",2,2.2920000553131104,0
"020700030708",2,711.6500244140625,0
"020700030802",3,859.1799926757812,0
"020700030803",6,0.5580000281333923,0
"020700040102",1,-1.0,0
"020700040201",7,2.9159998893737793,0
"020700040202",9,0.25200000405311584,0
"020700040203",3,0.871999979019165,0
"020700040204",1,12.008000373840332,0
"020700040302",2,1.4880000352859497,0
"020700040303",1,7.623000144958496,0
"020700040401",14,0.4869999885559082,0
"020700040402",17,1.9249999523162842,0
"020700040403",13,1.0640000104904175,0
"020700040404",9,0.5600000023841858,0
"020700040405",11,1.7070000171661377,0
"020700040408",1,38.93600082397461,0
"020700040501",1,7.135000228881836,0
"020700040502",4,1.0119999647140503,0
"020700040503",12,-0.1679999977350235,0
"020700040504",1,0.42399999499320984,0
"020700040505",1,2.1710000038146973,0
"020700040601",3,0.1720000058412552,0
"020700040602",1,140.18099975585938,0
"020700040603",1,4.5229997634887695,0
"020700040604",2,2.4130001068115234,0
"020700040605",3,63.415000915527344,0
"020700040701",2,7.208000183105469,0
"020700040703",1,233.9429931640625,0
"020700040801",3,0.765999972820282,0
"020700040802",6,2.3489999771118164,0
"020700040803",8,1.315000057220459,0
"020700040806",2,0.04899999871850014,0
"020700040807",2,21.43899917602539,0
"020700040901",10,1.2860000133514404,0
"020700040902",5,0.16599999368190765,0
"020700040903",8,0.5350000262260437,0
"020700040904",7,0.4650000035762787,0
"020700040908",3,0.4779999852180481,0
"020700041001",5,1.9290000200271606,0
"020700041002",5,7.958000183105469,0
"020700041003",2,8.8100004196167,0
"020700041004",2,5.4019999504089355,0
"020700041007",4,11.24899959564209,0
"020700041008",1,48.82099914550781,0
"020700041009",3,20.795000076293945,0
"020700041102",4,9.520999908447266,0
"020700041103",9,4.593999862670898,0
"020700041106",4,53.57099914550781,0
"020700041108",6,37.125999450683594,0
"020700050101",5,14.01200008392334,0
"020700050102",1,13.428000450134277,0
"020700050201",2,2.009999990463257,0
"020700050202",4,0.9399999976158142,0
"020700050203",1,0.5889999866485596,0
"020700050302",2,0.47200000286102295,0
"020700050303",2,371.1600036621094,2
"020700050401",3,6.224999904632568,3
"020700050402",1,41.209999084472656,1
"020700050403",4,14.411999702453613,0
"020700050404",1,10.71399974822998,1
"020700050501",3,23.26799964904785,62
"020700050502",3,15.692999839782715,18
"020700050503",1,0.023000000044703484,0
"020700050601",1,2.6040000915527344,1
"020700050602",1,6.953999996185303,0
"020700050603",4,1.2920000553131104,0
"020700050604",1,0.19200000166893005,2
"020700050605",8,56.12799835205078,0
"020700050606",6,1.194000005722046,0
"020700050701",18,2.382999897003174,0
"020700050702",13,1.6460000276565552,0
"020700050703",12,2.493000030517578,0
"020700050704",8,1.5429999828338623,0
"020700050705",2,0.6309999823570251,0
"020700050802",1,15.253000259399414,0
"020700050803",7,2.9230000972747803,0
"020700050804",7,0.8209999799728394,0
"020700050805",1,31.218000411987305,0
"020700050901",3,42.56700134277344,0
"020700050903",1,127.58699798583984,0
"020700050905",1,195.6490020751953,0
"020700050907",3,6.335000038146973,0
"020700051001",1,37.38199996948242,0
"020700051002",1,9.114999771118164,0
"020700051003",1,6.370999813079834,0
"020700051004",1,0.1120000034570694,0
"020700051005",2,1.7230000495910645,0
"020700060101",1,1.0099999904632568,105
"020700060102",0,0.0,1
"020700060103",0,0.0,129
"020700060104",0,0.0,84
"020700060105",6,3.6610000133514404,65
"020700060106",1,0.46799999475479126,0
"020700060201",1,0.003000000026077032,0
"020700060202",4,2.9489998817443848,0
"020700060203",2,3.5840001106262207,0
"020700060204",3,7.499000072479248,0
"020700060301",3,2.6630001068115234,0
"020700060302",1,1.371000051498413,28
"020700060303",2,343.0889892578125,0
"020700060304",1,14.57699966430664,0
"020700060401",4,9.194000244140625,0
