"HUC2","dams","connectedmiles"
"02",1048,10.053385938672916
"03",23776,5.082796740135565
"05",1023,35.663130561711775
"06",1265,17.499143473891113
"07",756,13.818985457852996
"08",1836,18.678305909333815
"10",1265,7.257948251922538
"11",4166,19.20771339144844
"12",3405,15.197210289627721
"13",235,14.91183430230894
