"NA_L2CODE","NA_L1CODE","dams","connectedmiles"
"","",1,1.9872299
"10.2","10",61,23.471639293260655
"15.4","15",17,7.961400923764116
"8.3","8",26162,7.8494217601882985
"8.4","8",4772,16.877977628469885
"8.5","8",1046,17.38660804659207
"9.2","9",1229,5.994157526886585
"9.4","9",4918,11.663840458350245
"9.5","9",128,20.658914252564134
"9.6","9",441,13.987672801085315
