HUC12,NumTEspp
030202040501,2
030202040502,2
030202040503,2
030202040504,2
030202040505,2
030202040601,2
030202040602,2
030202040603,2
030202040604,2
030202040605,2
030202040701,2
030202040702,2
030202040703,2
030202040704,2
030202040705,2
030202040801,2
030202040802,2
030202040803,2
030202040804,2
030202040805,2
030202040901,2
030202040902,2
030202040903,2
030202040904,2
030203010202,1
030203010203,1
030203010204,1
030203010205,1
030203010206,1
030203010301,1
030203010302,1
030203010303,1
030203010304,1
030203010305,1
030203010306,1
030203010404,1
030203010405,2
030203010406,1
030203010501,1
030203010502,1
030203010503,1
030203010601,1
030203010602,1
030203010603,1
030203010604,1
030203010701,1
030203010702,1
030203010703,1
030203010704,2
030203010705,2
030203010706,2
030203020105,1
030203020202,1
030203020203,1
030203020205,1
030203020206,1
030203020207,1
030203020208,1
030203020209,1
030203020210,2
030203020301,1
030203020302,2
030203020303,2
030203020304,1
030203020401,1
030203020402,1
030203020403,1
030203020404,1
030203020405,1
030203020501,1
030203020502,1
030203020503,2
030203020504,1
030300020509,1
030300020701,1
030300020702,1
030300020704,1
030300030208,1
030300030303,1
030300030401,1
030300030406,1
030300030407,1
030300030408,1
030300030508,1
030300030509,1
030300030601,1
030300030604,1
030300030607,1
030300030608,1
030300040105,1
030300040106,1
030300040501,1
030300040502,1
030300040506,1
030300050405,1
030300050407,2
030300050501,2
030300050503,2
030300050504,2
030300050701,2
030300050702,2
030300050704,2
030300050801,2
030300050802,1
030300050803,2
030300050804,2
030300050805,1
030300060807,2
030300070804,1
030300070805,1
030300070806,1
030300070807,1
030300070808,1
030300070809,1
030401050701,1
030401050704,1
030402010105,1
030402010302,1
030402010303,1
030402010304,1
030402010306,1
030402020104,1
030402020105,1
030402020301,1
030402020305,1
030402050910,1
030402060303,1
030402060304,1
030402060306,1
030402060601,1
030402061003,1
030402070106,1
030402070207,1
030402070208,2
030402070209,2
030402070210,2
030402080105,1
030402080106,1
030402080107,1
030402080108,1
030402080109,1
030402080203,1
030402080204,1
030402080205,1
030402080206,1
030402080303,1
030402080307,1
030402080308,1
030402080309,1
030402080314,1
030402080315,1
030402080401,1
030402080402,2
030402080403,1
030402080404,2
030501030203,1
030501030304,1
030501030406,1
030501030603,1
030501110109,1
030501120101,1
030501120303,3
030501120304,1
030501120403,1
030501120404,1
030502010101,1
030502010304,1
030502010305,1
030502010306,1
030502010401,1
030502010402,2
030502010605,1
030502010701,1
030502010705,2
030502010707,1
030502010708,1
030502020203,1
030502020205,1
030502020207,1
030502030304,1
030502030308,1
030502050104,1
030502050106,1
030502050107,1
030502060306,1
030502060308,2
030502060309,1
030502060405,1
030502060406,1
030502070706,1
030502071003,2
030502071103,1
030502071104,1
030502071106,1
030502080503,1
030502080607,1
030502080608,1
030502080609,1
030502090101,2
030502090102,2
030502090202,1
030502090203,2
030502090204,1
030502090206,2
030502100101,1
030502100102,1
030502100103,1
030502100104,1
030601060506,1
030601060605,1
030601060607,1
030601060801,1
030601060804,1
030601060805,2
030601060806,1
030601060902,1
