"L4_KEY","NA_L3CODE","NA_L2CODE","NA_L1CODE","dams","connectedmiles"
"65b","8.3.5","8.3","8",1053,12.885051377559009
"65c","8.3.5","8.3","8",3041,1.9576249721840255
"65d","8.3.5","8.3","8",2510,3.6171623755575824
"65e","8.3.5","8.3","8",725,12.431601446351785
"65f","8.3.5","8.3","8",3257,3.2389668707754273
"65g","8.3.5","8.3","8",7528,1.4443451563404683
"65h","8.3.5","8.3","8",1891,1.875703171573925
"65i","8.3.5","8.3","8",2472,2.707497252785364
"65j","8.3.5","8.3","8",27,29.241772762269225
"65k","8.3.5","8.3","8",1242,1.6173097878160965
"65l","8.3.5","8.3","8",2327,3.4985767202234803
"65m","8.3.5","8.3","8",938,7.077840985176889
"65n","8.3.5","8.3","8",3,1.7074349500000001
"65o","8.3.5","8.3","8",208,1.7964025684900966
"65p","8.3.5","8.3","8",864,68.05301574355582
"65q","8.3.5","8.3","8",53,2.0127786773115384
"65r","8.3.5","8.3","8",46,2.231475067619048
"66a","8.4.4","8.4","8",23,4.830267633600001
"66b","8.4.4","8.4","8",17,3.1735266749999997
"66c","8.4.4","8.4","8",40,51.70432297045454
"66d","8.4.4","8.4","8",664,3.8615679523745854
"66e","8.4.4","8.4","8",57,2.4464193956756755
"66f","8.4.4","8.4","8",5,23.231634725
"66g","8.4.4","8.4","8",621,8.50092028908767
"66i","8.4.4","8.4","8",3,""
"66j","8.4.4","8.4","8",270,14.204737765965291
"66k","8.4.4","8.4","8",7,1.6692867833333331
"66l","8.4.4","8.4","8",66,2.4129030828500007
"66m","8.4.4","8.4","8",2,0.9981310600000001
"67a","8.4.1","8.4","8",40,38.259546212258066
"67b","8.4.1","8.4","8",48,21.477636388179484
"67c","8.4.1","8.4","8",12,16.077839152400003
"67d","8.4.1","8.4","8",16,8.334695696
"67f","8.4.1","8.4","8",945,19.586903659784316
"67g","8.4.1","8.4","8",540,12.938656238877252
"67h","8.4.1","8.4","8",541,3.393618388561268
"67i","8.4.1","8.4","8",22,4.3364579475000005
"68a","8.4.9","8.4","8",278,2.933737315938643
"68b","8.4.9","8.4","8",28,21.728436947142857
"68c","8.4.9","8.4","8",45,16.45164659125
"68d","8.4.9","8.4","8",213,3.6985083324067394
"68e","8.4.9","8.4","8",232,28.465637154256278
"68f","8.4.9","8.4","8",1037,4.052279783563939
"69d","8.4.2","8.4","8",121,20.911575460188562
"69e","8.4.2","8.4","8",28,7.722013316799999
"70b","8.4.3","8.4","8",5,0.43285696825000003
"70d","8.4.3","8.4","8",26,61.83214728550909
"70f","8.4.3","8.4","8",28,275.84580533668753
"70g","8.4.3","8.4","8",23,9.842604126310526
"70h","8.4.3","8.4","8",3,7.6205177433666655
"71a","8.3.3","8.3","8",77,38.686827907258085
"71b","8.3.3","8.3","8",17,5.225159432142857
"71c","8.3.3","8.3","8",55,7.673379159829248
"71d","8.3.3","8.3","8",275,18.284760678377598
"71e","8.3.3","8.3","8",32,18.87473590909091
"71f","8.3.3","8.3","8",257,19.10862720860323
"71g","8.3.3","8.3","8",195,45.64327447057728
"71h","8.3.3","8.3","8",220,39.239494926232325
"71i","8.3.3","8.3","8",31,61.44273861527274
"71j","8.3.3","8.3","8",40,1.1053121822820515
"71k","8.3.3","8.3","8",82,32.66774379404
"71l","8.3.3","8.3","8",77,15.79040690949118
"72a","8.3.2","8.3","8",21,134.6013475416875
"72c","8.3.2","8.3","8",129,37.32922165387366
"72d","8.3.2","8.3","8",7,1913.865875
"72e","8.3.2","8.3","8",5,13.9787
"72f","8.3.2","8.3","8",834,2.1728859068898547
"72h","8.3.2","8.3","8",84,27.523859121224135
"73a","8.5.2","8.5","8",167,243.3469972335031
"73b","8.5.2","8.5","8",35,6.771875242333333
"73c","8.5.2","8.5","8",3,""
"73d","8.5.2","8.5","8",28,12.6292273
"73e","8.5.2","8.5","8",82,7.283528399051725
"73f","8.5.2","8.5","8",7,1.8400964741999999
"73g","8.5.2","8.5","8",11,12.21351975
"73h","8.5.2","8.5","8",23,144.07921928064283
"73i","8.5.2","8.5","8",2,4.57080995
"73j","8.5.2","8.5","8",4,163.0900778
"73k","8.5.2","8.5","8",6,5.080266321008
"73m","8.5.2","8.5","8",5,19.5255312002
"73n","8.5.2","8.5","8",5,""
"74a","8.3.6","8.3","8",385,4.302938949968033
"74b","8.3.6","8.3","8",1114,9.064317561592354
