"id","dams","off_network_dams","miles","barriers"
"01001",92,4,5.39900016784668,0
"01003",71,8,1.3589999675750732,100
"01005",439,110,2.1540000438690186,0
"01007",116,16,3.0859999656677246,6
"01009",257,93,2.687999963760376,5
"01011",661,359,0.9860000014305115,0
"01013",107,3,0.515999972820282,0
"01015",59,8,35.82099914550781,4
"01017",609,225,1.4639999866485596,0
"01019",13,1,150.77200317382812,0
"01021",141,4,9.906999588012695,4
"01023",43,1,179.30599975585938,75
"01025",89,2,2.1649999618530273,0
"01027",195,58,1.9140000343322754,20
"01029",211,43,7.788000106811523,71
"01031",204,8,13.901000022888184,0
"01033",37,1,1.2410000562667847,47
"01035",202,3,0.5929999947547913,194
"01037",119,41,15.378000259399414,0
"01039",1419,545,3.8320000171661377,18
"01041",112,15,0.8379999995231628,0
"01043",47,8,49.858001708984375,76
"01045",143,5,2.755000114440918,0
"01047",138,22,1.9459999799728394,0
"01049",132,4,1.409999966621399,0
"01051",663,218,3.687000036239624,0
"01053",104,6,1.0440000295639038,24
"01055",58,8,13.03600025177002,0
"01057",41,9,1.8029999732971191,139
"01059",80,1,11.529999732971191,91
"01061",96,7,0.6359999775886536,3
"01063",145,33,1.4279999732971191,47
"01065",244,62,1.378000020980835,39
"01067",243,59,3.187999963760376,0
"01069",605,163,2.993000030517578,83
"01071",95,2,0.746999979019165,0
"01073",1122,501,1.5369999408721924,8
"01075",31,1,4.86899995803833,0
"01077",48,3,14.652999877929688,0
"01079",46,2,2.940000057220459,16
"01081",1067,470,1.350000023841858,0
"01083",46,0,0.8159999847412109,0
"01085",152,6,41.76499938964844,0
"01087",1002,531,1.2640000581741333,9
"01089",64,2,1.5290000438690186,0
"01091",87,12,1.0870000123977661,21
"01093",78,0,7.85699987411499,0
"01095",132,9,1.0509999990463257,0
"01097",113,5,3.3320000171661377,0
"01099",129,1,20.292999267578125,5
"01101",606,216,0.5080000162124634,0
"01103",62,3,0.6499999761581421,0
"01105",127,27,8.616999626159668,0
